Datetime,Tweet Id,Text,Username
2022-06-17 23:59:41+00:00,1537948125628747777,"@BitMartExchange To the Moon 💯💵💎
@galuka156 @hoangyen88vn
@juliaphams88

#NFT or #Metaverse",cozyhomes88
2022-06-17 23:59:27+00:00,1537948068431007744,"THIS!!!....@metazooxyz with @MrSweMusic1...RIGHT NOW!! 🔥🔥🔥🔥🎶🎶🎶🎶🐻🐻🐻🐻

@DCLMETATIGER @trickstar @definitecasheth @BitBears @SinfulMeatStick @btrmlkbizkitz @FutureGhost2a @RefractionDCL @lyssin3d @damian28dcl 

#Decentraland #Web3 #metaverse #music #digitalfashion https://t.co/rP2VufMby7",TTJP_1
2022-06-17 23:59:02+00:00,1537947961983832066,"In #Mars4 #game demo you can free your imagination and build the craziest buildings because there're no rules! 🤪🏗️

PLAY NOW 🎮 https://t.co/dmcw5GgLOi

Enter the building competition 👉 https://t.co/QIQF4GqfXi

#NFTGame #Play2Earn #Metaverse https://t.co/wnewUAkkpE",Dubai_community
2022-06-17 23:58:39+00:00,1537947867196731392,"PROJECT sees big project potential 100x+ 🔥🔥🔥💚👏
@ProjectSeedGame https://t.co/Vsx6ADTTNf #ProjectSEED $SHILL #Metaverse #ProjectSeedToTheMoon #Kucoin #Huobi #NFT https://t.co/Z6cUudKbbm",jeanvsz
2022-06-17 23:58:11+00:00,1537947747357143041,"@verasaw This project is next level!

We got you featured on our #NFTGaming #metaverse List.

https://t.co/6yZVMGmJBk",cryptopillage
2022-06-17 23:58:07+00:00,1537947733104791552,"New Game Alert! 🎮 🚨

Verasaw Plant Token is now on the Crypto Pillage #NFTGaming #metaverse list! 🎉 

🪙 $VRS is the project token
🐦 Project Twitter: @verasaw
🔗 Running on Solana
ℹ️ More Details: https://t.co/TaD2875sv9 https://t.co/P8Zae4b1tS",cryptopillage
2022-06-17 23:58:04+00:00,1537947717128712192,"Things that are coming to EVERYONES lives and you won’t be able to stop.

#Blockchain 
#AI
#VR
#AR 
#Metaverse’s
#Crypto 
#Web3 

There is a vast ocean of projects / companies to invest in that focus on these industries, don’t miss them.",Crypto_Ciaran
2022-06-17 23:57:57+00:00,1537947689807097857,"Únete a la comunidad en español!!!

@ProjectSeedGame https://t.co/Vsx6ADTTNf #ProjectSEED $SHILL #Metaverse #ProjectSeedToTheMoon #Kucoin #Huobi #NFT

https://t.co/9yGk72Bbn0",jeanvsz
2022-06-17 23:57:52+00:00,1537947669598916613,"Europe very weak and the #euro is heading towards fragmentation. Possible return of bimonetary standard Greece, Portugal, Spain, Italy.
#CryptoCurrencies #Bitcoin #Ethereum #NFT #NFTs #NFTCommunity #OtherEconomy #OtraEconomia #Metaverse #Gold",MaximilianLex4
2022-06-17 23:57:46+00:00,1537947644042940418,"Gama AMA in 5, 4, 3, 2, 1 … #NFTgaming #Metaverse #UnrealEngine5 #GamaStudios 

follow @JesseChengLyu @gama_nft @cyberjuicee @DanFerris15 @Starheartdreamr 💜 https://t.co/cacwLoPGxN",LeetCoins
2022-06-17 23:57:28+00:00,1537947567970930690,"Grandes actualizaciones!!!!!  👏👏👏 Magnífico proyecto!
@ProjectSeedGame https://t.co/Vsx6ADTTNf #ProjectSEED $SHILL #Metaverse #ProjectSeedToTheMoon #Kucoin #Huobi #NFT https://t.co/j8tlcwKfs0",jeanvsz
2022-06-17 23:56:51+00:00,1537947412366364672,"Europa muy debilitada y el #euro va hacia la fragmentación. Posible regreso de patrón bimonetario Grecia, Portugal, España, Italia.
#CryptoCurrencies #Bitcoin #Ethereum #NFT #NFTs #NFTCommunity #OtherEconomy #OtraEconomia #Metaverse #Gold",MaximilianLex4
2022-06-17 23:55:28+00:00,1537947064901849090,"🚨 Otherdeed #53959 bought for 2.55Ξ (2,799.39$)

#otherside #otherdeed #BAYC #MAYC $APE #Metaverse #WhaleAnalytica
https://t.co/tsew90OwYA",metadatabot
2022-06-17 23:54:40+00:00,1537946864930000899,"Check us out on @opensea

https://t.co/fwyr8TTC5y

#METMMK #METAVERSE",METAMAMAK
2022-06-17 23:54:18+00:00,1537946770277208064,"1. ""DROP YOUR #NFT""
2. leave your #wallet
3. #follow
4. #RT

OpenSea: 
https://t.co/lNtlbi00eA

Road Map: 
https://t.co/cBftIfRwWW

#NFTdrop #NFTcollection #NFTartists #nftcollectors #ETH #Polygon #Minecraft #Metaverse  #MKninjaMinecraftMetaverse 

#cybersmoke #mk https://t.co/7Ef7AuWH1K",madgolin
2022-06-17 23:53:02+00:00,1537946451623354368,"Our first project - the first British VR feature film, ONCE UPON A TIME IN BRITAIN is set in an alternate 1950s fantasy world of British Wrestling, starring Will Ospreay, Sidney King, Steven Berkoff and many more TBA 

#wresting #metaverse #nfts #NFTCommuntiy #nftart #nftfilm https://t.co/2KBhcQ8xhw",WrestlingVR
2022-06-17 23:52:59+00:00,1537946438167953409,"Founder &amp; CEO of #WrestlingVR - @thesidneyking was on the panel for “The #Metaverse and The Virtual World” event where he discussed our Wrestling VR project at The House of Commons, U.K. Parliament this week. https://t.co/t9OKdyV7L4",WrestlingVR
2022-06-17 23:52:52+00:00,1537946408434946048,"I told King Solomon:
                   men are not mere mortals
                   they are so because they believe so
                                                              Gad
#Spiritual #Divine #mysticbeing  #blissful  #wisdom #Metaverse #God",QMessenger3
2022-06-17 23:52:34+00:00,1537946334791012353,"#innovation #creativity #technology #design #UNFUR #environment #animals #sustainability  #Digital
#Metaverse 

Anti-Fur Coalition Embraces Metaverse To Launch Cruelty-Free Digital Fur Fashion https://t.co/QJMyeePQBQ",SRDHAIN
2022-06-17 23:51:50+00:00,1537946148157042688,"#RT @McKinsey: From metaverse and machine learning to AI and cryptocurrency - these are the main 2022 tech trends to watch out for.

💡 Learn more: https://t.co/QlrJrFShhJ

#techtrends2022 #machinelearning #metaverse #ai #crypto https://t.co/X2cGhIWT1H",vicentegarciadz
